"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"25.08.2021","5.213,75","5.270,00","5.275,00","5.210,00","278,42K","-0,81%"
"24.08.2021","5.256,52","5.370,00","5.370,50","5.251,00","305,74K","-2,39%"
"23.08.2021","5.385,39","5.373,50","5.408,50","5.352,00","252,07K","-0,21%"
"20.08.2021","5.396,76","5.455,00","5.484,00","5.373,50","330,92K","-0,65%"
"19.08.2021","5.432,08","5.427,50","5.464,50","5.388,50","396,53K","1,24%"
"18.08.2021","5.365,77","5.293,00","5.406,50","5.272,00","362,70K","1,72%"
"17.08.2021","5.275,18","5.295,00","5.314,50","5.246,50","336,04K","-0,12%"
"16.08.2021","5.281,54","5.289,00","5.310,50","5.240,00","245,79K","0,35%"
"13.08.2021","5.263,00","5.258,00","5.294,00","5.233,00","252,03K","-0,01%"
"12.08.2021","5.263,45","5.236,00","5.274,50","5.223,00","261,01K","0,58%"
"11.08.2021","5.233,23","5.211,00","5.249,00","5.178,50","290,09K","0,35%"
"10.08.2021","5.215,14","5.255,00","5.278,00","5.200,50","249,50K","-0,67%"
"09.08.2021","5.250,37","5.246,00","5.315,00","5.230,50","276,06K","0,05%"
"06.08.2021","5.248,00","5.252,00","5.292,50","5.222,00","279,92K","0,26%"
"05.08.2021","5.234,17","5.140,00","5.275,50","5.128,50","368,30K","0,43%"
"04.08.2021","5.211,96","5.204,00","5.265,00","5.184,00","277,65K","-0,15%"
"03.08.2021","5.220,00","5.184,50","5.293,50","5.184,50","373,53K","0,89%"
"02.08.2021","5.173,80","5.209,50","5.239,50","5.134,00","301,10K","-1,13%"
"30.07.2021","5.233,00","5.078,50","5.233,00","5.077,00","374,94K","3,21%"
"29.07.2021","5.070,17","5.099,50","5.099,50","5.042,00","280,42K","-1,05%"
"28.07.2021","5.123,87","5.171,50","5.193,50","5.106,50","326,23K","-1,15%"
"27.07.2021","5.183,60","5.192,50","5.209,00","5.151,00","250,98K","0,07%"
"26.07.2021","5.180,08","5.192,50","5.233,50","5.155,00","206,58K","-0,88%"
"23.07.2021","5.225,99","5.203,50","5.236,50","5.163,00","222,24K","0,24%"
"22.07.2021","5.213,27","5.186,50","5.229,50","5.173,50","191,09K","0,09%"
"21.07.2021","5.208,75","5.238,00","5.283,50","5.187,00","307,02K","-0,22%"
"20.07.2021","5.220,00","5.250,00","5.301,00","5.208,50","268,46K","-0,69%"
"19.07.2021","5.256,31","5.168,50","5.265,50","5.159,50","294,46K","2,67%"
"16.07.2021","5.119,64","5.113,50","5.135,00","5.081,00","222,64K","-0,07%"
"15.07.2021","5.123,00","5.092,00","5.146,50","5.064,50","252,70K","0,66%"
"14.07.2021","5.089,20","5.148,50","5.167,50","5.076,50","263,03K","-1,76%"
"13.07.2021","5.180,54","5.188,50","5.233,00","5.159,00","297,02K","-0,26%"
"12.07.2021","5.194,25","5.270,50","5.296,50","5.175,00","271,48K","-1,38%"
"08.07.2021","5.267,14","5.285,00","5.327,00","5.232,00","323,79K","0,42%"
"07.07.2021","5.245,25","5.193,00","5.295,00","5.183,50","331,70K","0,62%"
"06.07.2021","5.212,68","5.100,00","5.231,50","5.090,00","329,14K","2,26%"
"05.07.2021","5.097,45","5.061,50","5.114,50","5.060,00","111,69K","0,83%"
"02.07.2021","5.055,65","5.055,00","5.088,50","5.002,00","295,77K","0,25%"
"01.07.2021","5.043,20","4.985,00","5.071,50","4.962,50","323,46K","1,15%"
"30.06.2021","4.986,00","4.957,50","5.008,50","4.955,00","368,59K","0,96%"
"29.06.2021","4.938,67","4.947,00","4.971,50","4.922,00","248,74K","0,12%"
"28.06.2021","4.932,88","4.950,00","4.974,00","4.919,50","217,74K","-0,55%"
"25.06.2021","4.960,03","4.913,50","4.976,50","4.896,00","301,98K","0,88%"
"24.06.2021","4.916,68","4.971,00","4.971,50","4.901,00","314,04K","-1,16%"
"23.06.2021","4.974,52","4.967,00","4.983,50","4.940,00","335,21K","-0,29%"
"22.06.2021","4.989,00","5.017,00","5.050,00","4.960,00","324,68K","-0,72%"
"21.06.2021","5.024,98","5.080,00","5.086,50","5.017,50","255,96K","-1,39%"
"18.06.2021","5.096,00","5.010,00","5.115,00","4.988,50","353,37K","1,23%"
"17.06.2021","5.033,89","5.060,00","5.083,00","5.013,50","294,51K","-0,76%"
"16.06.2021","5.072,44","5.063,50","5.090,00","5.001,00","378,41K","0,42%"
"15.06.2021","5.051,14","5.073,00","5.113,50","5.047,00","225,00K","-0,57%"
"14.06.2021","5.079,95","5.116,00","5.121,50","5.064,50","221,89K","-0,87%"
"11.06.2021","5.124,72","5.064,50","5.148,50","5.064,00","241,25K","0,77%"
"10.06.2021","5.085,36","5.071,00","5.102,00","5.042,50","267,35K","0,20%"
"09.06.2021","5.074,98","5.038,00","5.097,00","5.030,00","281,89K","0,50%"
"08.06.2021","5.049,73","5.053,00","5.080,00","5.033,00","247,04K","0,05%"
"07.06.2021","5.047,34","5.050,50","5.081,50","5.030,50","240,63K","-0,12%"
"04.06.2021","5.053,30","5.138,00","5.138,50","5.044,50","291,30K","-0,74%"
"02.06.2021","5.091,04","5.168,50","5.187,50","5.080,00","368,30K","-1,55%"
"01.06.2021","5.171,10","5.216,00","5.222,00","5.154,00","349,35K","-1,15%"
"31.05.2021","5.231,50","5.230,00","5.237,00","5.204,50","210,64K","0,08%"
"28.05.2021","5.227,50","5.261,00","5.263,50","5.210,00","230,68K","-0,37%"
"27.05.2021","5.247,00","5.307,50","5.313,50","5.237,00","357,83K","-1,28%"
"26.05.2021","5.315,28","5.326,00","5.344,00","5.289,00","253,17K","-0,45%"
"25.05.2021","5.339,50","5.306,50","5.349,00","5.299,00","262,51K","0,29%"
"24.05.2021","5.324,30","5.373,00","5.379,00","5.314,00","206,57K","-0,58%"
"21.05.2021","5.355,42","5.290,00","5.375,00","5.275,50","246,47K","1,35%"
"20.05.2021","5.284,12","5.314,50","5.314,50","5.275,50","205,33K","-0,75%"
"19.05.2021","5.323,93","5.292,00","5.331,50","5.265,50","275,83K","1,21%"
"18.05.2021","5.260,15","5.270,00","5.287,00","5.237,50","210,70K","-0,07%"
"17.05.2021","5.263,79","5.292,50","5.327,00","5.252,50","222,69K","-0,19%"
"14.05.2021","5.273,94","5.298,00","5.304,00","5.253,00","239,96K","-0,59%"
"13.05.2021","5.305,05","5.313,00","5.341,00","5.261,00","317,11K","0,27%"
"12.05.2021","5.290,56","5.245,00","5.328,00","5.219,50","308,38K","0,96%"
"11.05.2021","5.240,11","5.244,50","5.291,00","5.213,00","273,62K","-0,20%"
"10.05.2021","5.250,41","5.248,00","5.261,50","5.206,50","252,87K","0,24%"
"07.05.2021","5.237,69","5.292,00","5.305,00","5.214,00","306,26K","-1,03%"
"06.05.2021","5.292,06","5.351,00","5.386,50","5.269,00","322,68K","-1,48%"
"05.05.2021","5.371,67","5.450,00","5.451,50","5.364,50","267,04K","-1,40%"
"04.05.2021","5.447,73","5.478,00","5.496,00","5.424,50","248,91K","0,51%"
"03.05.2021","5.420,14","5.428,00","5.468,00","5.386,50","239,67K","0,31%"
"30.04.2021","5.403,60","5.355,00","5.405,50","5.336,00","22,16K","0,98%"
"29.04.2021","5.351,17","5.345,50","5.380,00","5.323,00","321,23K","-0,24%"
"28.04.2021","5.364,21","5.455,50","5.457,00","5.343,50","348,51K","-1,81%"
"27.04.2021","5.462,88","5.436,50","5.468,50","5.412,00","296,12K","0,07%"
"26.04.2021","5.459,31","5.469,00","5.491,50","5.435,50","287,82K","-0,68%"
"23.04.2021","5.496,49","5.450,00","5.526,50","5.427,00","303,50K","0,48%"
"22.04.2021","5.470,30","5.560,00","5.563,00","5.441,00","338,66K","-1,69%"
"20.04.2021","5.564,17","5.570,00","5.591,50","5.506,50","273,43K","0,08%"
"19.04.2021","5.559,85","5.570,00","5.625,50","5.531,50","270,12K","-0,47%"
"16.04.2021","5.586,24","5.623,00","5.682,50","5.571,50","247,00K","-0,59%"
"15.04.2021","5.619,62","5.656,00","5.665,50","5.601,00","277,92K","-1,37%"
"14.04.2021","5.697,49","5.706,50","5.741,50","5.652,00","260,32K","-0,07%"
"13.04.2021","5.701,61","5.735,00","5.762,50","5.669,00","274,89K","-0,75%"
"12.04.2021","5.744,50","5.682,00","5.748,00","5.637,50","206,61K","1,04%"
"09.04.2021","5.685,34","5.600,00","5.692,00","5.594,00","220,39K","1,94%"
"08.04.2021","5.577,29","5.615,00","5.625,00","5.546,00","240,10K","-1,16%"
"07.04.2021","5.642,85","5.602,00","5.662,50","5.557,00","258,62K","0,64%"
"06.04.2021","5.607,16","5.673,00","5.678,00","5.583,50","230,38K","-1,20%"
"05.04.2021","5.675,29","5.681,50","5.692,50","5.642,50","212,20K","-0,71%"
"01.04.2021","5.715,60","5.633,50","5.736,50","5.617,00","294,91K","1,29%"
"31.03.2021","5.643,00","5.765,00","5.770,50","5.643,00","418,96K","-1,80%"
"30.03.2021","5.746,25","5.782,00","5.804,00","5.722,50","259,39K","-0,64%"
"29.03.2021","5.783,25","5.760,00","5.808,00","5.736,50","267,87K","0,42%"
"26.03.2021","5.759,00","5.665,50","5.759,00","5.641,00","284,32K","1,50%"
"25.03.2021","5.673,90","5.635,00","5.683,00","5.619,50","347,67K","1,35%"
"24.03.2021","5.598,48","5.510,00","5.644,00","5.492,50","326,68K","1,98%"
"23.03.2021","5.489,60","5.547,50","5.552,50","5.464,50","291,15K","-0,30%"
"22.03.2021","5.505,96","5.509,50","5.549,50","5.497,00","235,34K","0,49%"
"19.03.2021","5.478,87","5.521,50","5.553,00","5.451,00","367,85K","-1,42%"
"18.03.2021","5.557,70","5.501,00","5.584,50","5.480,00","326,41K","-0,52%"
"17.03.2021","5.587,00","5.664,00","5.685,00","5.572,50","235,85K","-0,64%"
"16.03.2021","5.622,84","5.632,00","5.638,50","5.562,00","248,35K","-0,20%"
"15.03.2021","5.634,28","5.552,50","5.661,00","5.536,00","303,87K","1,14%"
"12.03.2021","5.570,56","5.570,00","5.593,00","5.550,50","229,62K","0,41%"
"11.03.2021","5.547,73","5.620,00","5.626,00","5.532,00","309,37K","-2,41%"
"10.03.2021","5.684,58","5.798,00","5.819,00","5.650,00","371,89K","-1,99%"
"09.03.2021","5.799,84","5.840,00","5.880,00","5.774,00","336,62K","0,27%"
